admin_id,registration_id,Manufacturer,registration,aircraft_id
1,10289,Embraer ,N714BZ,2171
1,329,Airbus ,N313NB,2133
1,3437,Boeing ,N550NW,2251
1,7067,De Havilland Canada,N206EH,809
1,3673,Boeing ,PK-ALV,1606
1,11205,Grumman ,5Y-EMJ,742
1,10207,Embraer ,B-3043,2192
1,5511,Cessna ,N944FE,1647
1,3728,Boeing ,PP-SPJ,2252
1,2192,Beech ,C-GHVI,1518
1,12025,Ilyushin ,RDPL-34141,1539
1,3538,Boeing ,N764AS,1864
1,400,Airbus ,TC-JDA,1778
1,1278,Antonov ,ES-NOY,1587
1,5229,Cessna ,N1116G,1687
1,4281,Britten-Norman,B-03/OT-ALC,1261
1,11728,Ilyushin ,15-2280,1698
1,7412,Dornier ,AP-BGF,1623
1,10756,Fokker ,10254,754
1,5714,Concorde ,F-BVFA,2142
1,11093,Fokker ,ZK-NAN,883
1,12510,Let ,FLARF-01032,1217
1,5281,Cessna ,N205BA,1687
1,5528,Cessna ,N9793B,1687
1,2865,Boeing ,7T-VEZ,1583
1,84,ATR ,I-ATRF,1809
1,10922,Fokker ,N712FE,1908
1,20,AMI ,ZS-MFY,1786
1,2903,Boeing ,9V-SMT,2154
1,2951,Boeing ,B-2516,1583
1,11161,Grumman ,162153,653
1,5418,Cessna ,N70FJ,1303
1,1356,Antonov ,LY-KAG,537
1,8618,Douglas ,CU-T1192,64
1,2131,Beech ,9G-AGF,1880
1,2626,Beech ,XC-ADP,1206
1,188,Airbus ,B-22603,2206
1,13875,Mitusbishi,PT-LNN,2253
1,2985,Boeing ,C-GKCP,2254
1,5385,Cessna ,N5512B,1687
1,4968,Canadair ,UD.13-29,2255
1,3009,Boeing ,CN-RNF,2256
1,7230,De Havilland Canada,PK-WAY,971
1,399,Airbus ,TC-JCZ,1778
1,1208,Antonov ,CU-T1294,969
1,2365,Beech ,N257CG,2068
1,14176,Saab ,N243AE,1838
1,14177,Saab ,N268AE,1838
1,5161,Cessna ,EC-HFA,2257
1,6500,Dassault ,N179GA,752
1,6501,Dassault ,N183GA,752
1,14367,Short ,N805SW,1428
1,15418,Yakovlev ,UK-87367,916
1,1696,Antonov ,SP-WPZ,537
1,1456,Antonov ,RA-12981,1031
1,11276,Grumman ,N7026Y,2065
1,14961,Vickers ,9Q-CGL,2258
1,10924,Fokker ,N730FE,843
1,7503,Douglas Aircraft Company,9Q-CWF,2080
1,14536,Swearingen ,C-GERW,1390
1,11009,Fokker ,S2-ACV,1381
1,2152,Beech ,C-FDYF,932
1,558,Antonov ,700,1127
1,14420,Sino ,N138BF,2259
1,7228,De Havilland Canada,PK-WAR,971
1,15425,Yakovlev ,UR-87918,916
1,2585,Beech ,TR-LFQ,1695
1,2093,Basler ,PNC-0212,1986
1,12054,Ilyushin ,UR-UCB,1575
1,14089,Rockwell ,N250EC,1076
1,1766,Antonov ,UK-68038,537
1,1270,Antonov ,ER-AXD,608
1,10876,Fokker ,F-GNLH,1586
1,5283,Cessna ,N208AD,1647
1,2592,Beech ,VH-AMR,1465
1,14122,Rockwell ,N856MA,1044
1,1749,Antonov ,T-307,2260
1,1422,Antonov ,RA-05881,2261
1,2374,Beech ,N2SM,2075
1,12129,Learjet ,9202,1725
1,3370,Boeing ,N343SW,2262
1,15424,Yakovlev ,UR-42352,1779
1,578,Antonov ,9L-LCR,1031
1,5136,Cessna ,D-CAUW,2263
1,3852,Boeing ,VH-VQI,2182
1,12165,Learjet ,I-ERJC,2069
1,14132,Rockwell ,XA-AAG,2264
1,14134,Rockwell ,XA-AAI,2264
1,14131,Rockwell ,XA-AAF,2264
1,14135,Rockwell ,XA-AAJ,2264
1,14133,Rockwell ,XA-AAH,2264
1,14136,Rockwell ,XA-AAW,2265
1,6897,De Havilland Canada,C-GOGC,971
1,4548,Britten-Norman,PT-KQS,1155
1,1209,Antonov ,CU-T1295,969
1,1202,Antonov ,CR866,1914
1,11018,Fokker ,ST-ARA,1787
1,201,Airbus ,C-GTDK,1688
1,13860,McDonnell Douglas,TC-ONP,1949
1,4870,Canadair ,F-GRJS,2015
1,14907,Tupolev ,RA-65929,2266
1,5636,Cessna ,V5-CAS,1687
1,13198,Lockheed ,7T-WHQ,1092
1,5202,Cessna ,HP-1403APP,1687
1,7680,Douglas Aircraft Company,OB-1749,1152
1,3765,Boeing ,ST-AFK,2055
1,12908,Lockheed ,163005,1043
1,2809,Boeing ,5X-AMW,2267
1,12564,Let ,YV-1060CP,1762
1,13244,Lockheed ,C-GFQA,412
1,14702,Swearingen ,ZS-OYI,1264
1,5536,Cessna ,N996JR,1888
1,5591,Cessna ,PT-LME,1404
1,14928,Tupolev ,RA-85847,1639
1,8468,Douglas ,C-GBSK,178
1,1219,Antonov ,D-FONE,702
1,12198,Learjet ,N135PT,1245
1,5680,Cessna ,YV-1069C,1687
1,10963,Fokker ,PK-GFT,2268
1,2122,Beech ,84-0169,1754
1,12475,Let ,9XR-JT,1217
1,12249,Learjet ,N403FW,1245
1,3181,Boeing ,HB-III,2269
1,2129,Beech ,91-0093,2270
1,4894,Canadair ,I-DPCN,2013
1,5407,Cessna ,N6591L,1823
1,14056,Raytheon ,N51NP,2271
1,5068,Cessna ,5Y-TWI,1687
1,10891,Fokker ,G525 F,872
1,5696,Cessna ,ZK-VAF,1823
1,12513,Let ,HH-PRV,2021
1,2357,Beech ,N240CJ,1880
1,1355,Antonov ,LY-KAE,537
1,4444,Britten-Norman,N630VC,1215
1,5101,Cessna ,C-FKAB,1687
1,2452,Beech ,N600BV,1544
