admin_id,aircraft_id,type,Manufacturer,Military / Commercial
1,2097,DHC-7-102 (O-5A),De Havilland Canada,M
1,2098,Let L-410UVP-E9,Let ,C
1,2099,DC-10-10F,Douglas Aircraft Company,C
1,2100,Beech Hawker BH-125-600A,Beech ,C
1,2101,MD-90-30,McDonnell Douglas,C
1,2102,Boeing 737-8B6,Boeing ,C
1,2103,Boeing 737-204C,Boeing ,C
1,2104,BAe BAe-748-501 Srs. 2B,British Aerospace,C
1,2105,Boeing 757-204,Boeing ,C
1,2106,Dassault Falcon 900B,Dassault ,M
1,2107,Boeing 747-438,Boeing ,C
1,2108,Mitusbishi Mu-300 Diamond,Mitusbishi,C
1,2109,DC-8-62F,Douglas Aircraft Company,C
1,2110,Boeing 737-566,Boeing ,C
1,2111,Boeing 767-366ER,Boeing ,C
1,2112,DC-9-31F,Douglas Aircraft Company,C
1,2113,Ilyushin Il-114T,Ilyushin ,M
1,2114,Cessna 208A Caravan I,Cessna ,M
1,2115,Cessna 650 Citation VII,Cessna ,M
1,2116,Boeing 747-2B5F (SCD),Boeing ,C
1,2117,Nord 262D-51 Frégate,Nord ,M
1,2118,ATR 42-310,ATR ,C
1,2119,Airbus A310-308,Airbus ,C
1,2120,Cessna 208A Caravan 675,Cessna ,C
1,2121,Boeing 727-82,Boeing ,M
1,2122,DC-8-71F,Douglas Aircraft Company,C
1,2123,Boeing 737-3T5,Boeing ,C
1,2124,Airbus A330-322,Airbus ,C
1,2125,Airbus A330-202,Airbus ,C
1,2126,CASA C-212-DE Aviocar 200,CASA ,M
1,2127,IAI 1125 Astra SPX,IAI ,C
1,2128,Boeing 737-75B,Boeing ,C
1,2129,SE-210 Caravelle III,Sud Aviation,M
1,2130,Antonov An-8,Antonov ,M
1,2131,Avro RJ70,Avro ,C
1,2132,Rockwell Sabreliner 65,Rockwell ,M
1,2133,Airbus A319-114,Airbus ,C
1,2134,Airbus A330-301,Airbus ,C
1,2135,Boeing 767-241ER,Boeing ,C
1,2136,Airbus A320-232,Airbus ,C
1,2137,Xian Yunshuji Y-7-100C,Xian ,C
1,2138,Kawasaki C-1A,Kawasaki ,C
1,2139,GAF Nomad N.22C,GAF ,M
1,2140,Boeing 737-49R,Boeing ,C
