registration,admin_id,aircraft_id,operator,registration_id
JA5080,1,81,All Nippon,7769
EP-AHC,1,639,Iran Air,5889
G-ANTD,1,640,BMA,6649
YU-ACB,1,10,JAT,15135
CCCP-06156,1,641,Ilyushin,3999
63-8882,1,378,USAF,2251
JA8023,1,463,JAL,7787
PP-SRQ,1,396,VASP,12300
G-AMHJ,1,642,Morton Air Services,6608
WL680,1,143,RAF,14548
N600N,1,67,Pine Paper Products Co.,9994
N300N,1,343,Fruehauf,9087
1264,1,643,Thai Navy,154
A4-202,1,623,RAAF,3006
G-AOHT,1,351,BEA,6663
PI-C948,1,24,Filipinas Orient Airways,11839
CCCP-45028,1,644,"Aeroflot, Privolzhsk",4335
CCCP-75690,1,436,"Aeroflot, Kyrgyzstan",4633
HK-153,1,8,Avianca,7244
43-16072,1,32,USAF,900
CF-PQG,1,10,Canadian DoT,5101
VH-FNH,1,449,Ansett-ANA,14010
CF-NAF,1,645,Eastern Provincial Airways,5090
OB-R-577,1,52,SATCO,11407
N4997E,1,10,Miami Aviation,9710
YI-ACU,1,646,Iraqi Airways,15015
CCCP-46764,1,547,"Aeroflot, Uralsk",4390
G-ATAM,1,647,BKS Air Transport,6749
HK-109,1,8,Avianca,7182
20727,1,648,RCAF,519
PP-BTP,1,17,Paraense Transportes Aéreos,12155
52-1075,1,229,USAF,1490
62-4458,1,548,USAF,2221
63-7797,1,649,USAF,2233
G-ASPL,1,647,BKS Air Transport,6744
G-AMSH,1,642,BKS Air Transport,6619
VR-AAA,1,5,Aden Airways,14213
AP-AAH,1,10,PIA,3089
ZK-TEC,1,454,TEAL,15375
57-6292,1,394,USAF,1751
EC-ATH,1,347,Iberia,5702
VH-ANJ,1,8,Victorian Air Coach Services,13963
CF-FAJ,1,10,Eastern Provincial Airways,5015
IM-1727,1,226,Indian AF,7735
N150A,1,8,private,8557
JY-ACQ,1,650,Alia,7851
N6455C,1,166,Liston Aircraft,10129
G-ANTB,1,5,BUA,6648
HJ218,1,19,Indian AF,7158
N757L,1,651,Bonanza Air Lines,10538
N6541C,1,327,Aaxico Airlines,10152
57-0475,1,392,USAF,1729
141321,1,652,US Navy,282
148147,1,653,US Navy,317
190/F-RABV,1,209,French AF,475
EC-AIN,1,168,Iberia,5689
N6579C,1,327,Aaxico Airlines,10163
D-CHFB,1,654,HFB,5503
55-4516,1,394,USAF,1641
965,1,32,Chilean AF,2671
GB+239,1,380,German AF,6936
62-4164,1,615,US Army,2208
G-APFL,1,487,BOAC,6697
YV-C-LBO,1,8,LEBCA,15258
AP-AMH,1,655,PIA,3104
N91016,1,10,Reeve Aleutian Airways,11061
JA5088,1,216,Japan Domestic Airlines,7770
KJ955,1,25,RAF,7895
4657,1,338,Japanese Navy,1174
63-8042,1,378,USAF,2247
T-49,1,12,Paraguay AF,13396
51-2680,1,206,USAF,1415
PI-C950,1,125,Filipinas Orient Airways,11840
T.2B-230,1,7,Spanish AF,13459
T.2B-229,1,7,Spanish AF,13458
56-4379,1,394,USAF,1708
7T-VAC,1,18,Air Algérie,2494
PT-BIS,1,67,Private,12395
GB+235,1,380,German AF,6935
152,1,209,French AF,354
51-5287,1,643,USAF,1426
CU-T824,1,334,Cubana,5391
G-ARVK,1,656,BOAC,6732
CF-OFJ,1,129,Newfoundland & Labrador Forestry Svc,5095
60-0373,1,657,USAF,2118
54-641,1,394,USAF,1594
N761PA,1,658,Pan Am,10553
N70773,1,512,Continental Air Lines,10311
55-0042,1,392,USAF,1619
55-0039,1,392,USAF,1618
51-058,1,643,USAF,1375
G-ASXL,1,659,BEA,6747
6V-AAA,1,8,Air Mauritanie,2399
TG577,1,660,RAF,13676
CF-CUQ,1,125,Canadian Pacific,5000
XA-MEC,1,661,Aeronaves de México,14644
55-0136,1,662,USAF,1624
G-ARMV,1,663,Skyways Coach Air,6723
43-49026,1,78,USAF,987
4614,1,338,Japanese Navy,1167
G-AMOL,1,250,Cambrian Airways,6614
CCCP-01201,1,109,"Aeroflot, Far East",3913
N8415H,1,633,Allegheny Airlines,10829
151380,1,569,US Navy,351
N4834V,1,302,private,9670
G-AHPL,1,38,Invicta Int. Airways,6555
OB-R-769,1,11,Rutas Internacionales,11411
PP-BTH,1,2,Paraense Transportes Aéreos,12152
N7036U,1,664,United Airlines,10297
E-228,1,535,Argentine AF,5662
12648,1,506,Pakistan AF,155
BM-1002,1,226,Indian AF,3327
PP-CFD,1,138,Cruzeiro do Sul,12183
135747,1,540,US Navy,245
SP-LVA,1,455,LOT,13153
149802,1,665,USMC,328
CCCP-05856,1,537,"Aeroflot, Lithuania",3992
PP-AJE,1,666,T.A. Catarinense,12129
FAC-655,1,19,Colombian AF,6448
34039,1,44,French Navy,686
CCCP-98320,1,473,"Aeroflot, Northern",4833
42-92916,1,610,USAF,834
N7671C,1,667,Micronesian Airlines,10567
5324,1,668,RCAF,1563
N272R,1,10,Central American Airways,8989
PI-C942,1,110,Filipinas Orient Airways,11835
CCCP-11337,1,579,"Aeroflot, Polar",4077
N5132B,1,17,Zantop,9779
N820TW,1,463,TWA,10767
ET-ABI,1,10,Ethiopian Airlines,5983
XV-NIC,1,10,Air Vietnam,14873
HC-AFQ,1,5,TAO,7064
T-1306,1,506,Indonesian AF,13355
N708PA,1,669,Pan Am,10319
55-0038,1,392,USAF,1617
N9719C,1,246,American Flyers,11243
PK-PHA,1,304,Pelita Air Service,12029
N5003X,1,564,Air America,9717
HK-613,1,2,SEA Colombia,7447
42-108957,1,32,USAF,799
17239,1,562,US Navy,449
AP-ATT,1,449,PIA,3106
G-AOVB,1,404,British Eagle,6669
53-010,1,229,USAF,1529
N601Z,1,670,Zantop,10003
N824D,1,326,Eastern Air Lines,10781
HK-118,1,588,Avianca,7190
VT-AUQ,1,10,Kalinga Airlines,14245
N37519,1,71,United Airlines,9318
F-BELV,1,566,"CITCA, op.for ICSC",6144
PI-C144,1,10,Philippine Air Lines,11798
N804LJ,1,619,Lear Jet,10695
CP-19/OT-CAS,1,206,Belgian AF,5220
PP-BTI,1,2,Paraense Transportes Aéreos,12153
CB-45,1,2,Frigorífico Cooperativo Los Andes,3851
VT-CEI,1,10,Kalinga Airlines,14266
53-0358,1,671,Air National Guard,1536
CP-645,1,10,Transportes Aéreos Acre,5269
N75296,1,17,Webair,10518
56-4381,1,394,USAF,1710
316410,1,12,French AF,672
TC-48,1,59,Argentine AF,13521
HK-811,1,135,Aeropesca Colombia,7471
0414/2-P-107,1,133,Argentine Navy,46
HK-1202,1,8,Taxi Aéreo Opita - TAO,7192
N-605,1,40,Danish AF,8227
N1996,1,672,American Airlines,8744
N52,1,10,FAA,9803
CCCP-45086,1,644,"Aeroflot, Northern",4344
N7030U,1,664,United Airlines,10296
T.3-39,1,32,Spanish AF,13484
N243F,1,619,"Flying Tiger Line, op.for Paul Kelly Flying Service",8913
CCCP-01189,1,109,"Aeroflot, Yakutsk",3912
H-060,1,32,Turkish AF,6944
G-APMF,1,528,BEA,6706
538,1,564,Air America,1565
55-4530,1,394,USAF,1645
N1210W,1,634,Associated Aviation Ind.,8385
N8784R,1,606,Trans Caribbean Airways,10931
G-APEY,1,350,BEA,6694
G-APEL,1,577,BEA,6693
N485,1,24,Edde Airlines,9672
54-651,1,673,USAF,1600
N748TW,1,674,TWA,10494
N6218C,1,233,Eastern Air Lines,10071
17107,1,562,US Navy,431
EC-ARZ,1,10,Spantax,5699
LV-JMC,1,2,Aerolineas Carreras,8058
56-0502,1,392,USAF,1668
XF704,1,594,RAF,14818
147960,1,559,US Navy,314
VQ-FAL,1,179,Fiji Airways,14206
56-4376,1,394,USAF,1705
D-IHAQ,1,619,private,5553
56-0515,1,392,USAF,1672
N6914C,1,390,Flying Tiger Line,10251
54-647,1,675,Air National Guard,1597
T.3-21,1,12,Spanish AF,13473
PI-C856,1,24,Air Manila Int.,11827
G-AMWX,1,5,Skyways Coach Air,6632
43-49492,1,676,USAF,1019
PP-LDQ,1,2,VASP,12207
62-1843,1,649,USAF,2193
CCCP-75688,1,436,"Aeroflot, Moscow",4632
45-1120,1,676,USAF,1120
JA8006,1,550,JAL,7784
PK-GDE,1,10,Garuda,11878
PK-GDU,1,10,Garuda,11881
CCCP-61618,1,334,"Aeroflot, Magadan",4462
56-4369,1,394,USAF,1701
XA+118,1,12,German AF,14570
61-0972,1,506,USAF,2150
5212,1,466,Polish AF,1524
51-2611,1,56,USAF,1404
61-0970,1,506,USAF,2149
54-676,1,394,USAF,1604
FAC-675,1,8,SATENA,6462
11021,1,677,Republic of China AF,97
55-4519,1,394,USAF,1642
42-93090,1,32,USAF,838
B-929,1,10,Air America,3307
CCCP-45076,1,678,Tupolev,4342
HK-730,1,75,Avianca,7458
CCCP-02185,1,109,"Aeroflot, Uzbekistan",3940
61-0273,1,378,USAF,2131
TL-KAA,1,299,Central African Republic AF,13723
4262,1,8,COHATA,855
VT-DMN,1,607,Air-India,14335
54-702,1,673,USAF,1607
N7115C,1,168,TWA,10335
LV-GFW,1,2,Aerovías Halcón,8038
135751,1,540,US Navy,247
D-ACAT,1,679,Lufthansa,5440
CCCP-02851,1,537,"Aeroflot, Kirovograd Flight School",3958
149809,1,665,USMC,329
50832,1,636,US Navy,1354
SU-AOB,1,680,UAA,13281
55-4537,1,394,USAF,1647
JA8302,1,681,All Nippon,7810
PH-SAB,1,449,"Schreiner Airways, op.for Indian Airlines",11779
52-0980,1,229,USAF,1472
VT-DPP,1,591,Indian Airlines,14343
18152,1,518,CAAC,468
CCCP-52058,1,340,"Aeroflot, Komi",4435
CCCP-76491,1,549,"Aeroflot, International",4653
OO-ABG,1,125,BIAS,11554
XA-LOS,1,17,Aerocarga Especializada,14640
OB-R-606,1,17,Trans-Peruana,11408
43-48297,1,31,USAF,943
N1135K,1,682,Kewitt Construction Company,8343
CCCP-79910,1,109,"Aeroflot, Far East",4667
HC-AIP,1,326,AREA Ecuador,7065
CCCP-79860,1,109,"Aeroflot, Far East",4665
CF-CPK,1,543,Canadian Pacific,4991
G-APFE,1,487,BOAC,6695
N6901C,1,200,LAPA,10243
SE-CFG,1,2,"Transair Sweden, op.for UN",13064
44-76290,1,676,USAF,1059
OD-AEL,1,327,TMA,11443
43-49268,1,676,USAF,1008
51-071,1,643,USAF,1378
SU-AOA,1,680,UAA,13280
N316M,1,619,Mutual Benefit Health & Accident,9152
N1245N,1,52,Servicios Americanos,8409
61-2641,1,506,USAF,2159
N453T,1,683,Flying Tiger Line,9571
56-0506,1,392,USAF,1670
L2-18/00,1,32,Thai AF,7922
CU-T831,1,436,Cubana,5394
61-0953,1,506,USAF,2145
VT-DOD,1,684,Indian Airlines,14337
N91375,1,685,private,11073
152171,1,569,US Navy,361
56-4382,1,394,USAF,1711
G-ALZX,1,259,Dan-Air Services,6601
10304,1,686,RCAF,78
YU-ABG,1,64,JAT,15132
N8744R,1,10,Continental Air Services,10924
51-8019,1,56,USAF,1441
PP-VAY,1,5,Varig,12303
N183H,1,454,American Flyers,8685
N235R,1,619,Rexall Drug & Chemical Company,8890
CCCP-61772,1,266,"Aeroflot, Azerbaijan",4474
CCCP-02807,1,537,"Aeroflot, North Kavkaz",3955
9302,1,687,RCAF,2643
VT-DDR,1,10,Indian Airlines,14302
3678,1,226,RCAF,714
OB-R-771,1,72,LANSA,11412
47985,1,32,French AF,1188
CA-1,1,17,"China Airlines, op.for Air America",3846
TG575,1,68,RAF,13675
LZ-...,1,109,Unknown,8140
62-4165,1,615,US Army,2209
5W-FAB,1,325,Polynesian Airlines,1990
43-49546,1,676,USAF,1029
57-1424,1,378,USAF,1732
55-4534,1,394,USAF,1646
N6339C,1,293,United Airlines,10105
T.2B-266,1,7,Spanish AF,13467
147953,1,559,US Navy,312
57-1444,1,378,USAF,1734
64-0511,1,649,USAF,2273
43-48925,1,676,USAF,975
G-ARPY,1,688,Hawker Siddeley,6728
FAP-367,1,32,Peruvian AF,6510
F-BKMF,1,635,Air Affaires,6200
N86523,1,72,Pacific Northern Airlines,10901
CCCP-45017,1,596,"Aeroflot, Belarus",4332
WF334,1,143,RAF,14513
N10415,1,2,Zantop,8288
63-7785,1,649,USAF,2230
56-4378,1,689,USAF,1707
CF-FBJ,1,98,Nordair,5019
PP-YPK,1,10,Varig,12336
CCCP-01127,1,109,"Aeroflot, Armenia",3908
XY-ADL,1,449,Union of Burma Airways,14955
N17337,1,690,Aeronaut Air Services,8651
HK-140,1,588,Avianca,7228
PI-C17,1,10,Philippine Air Lines,11801
HR-TNG,1,71,TAN,7569
9K-ACG,1,691,Kuwait Airways,2725
54-644,1,394,USAF,1596
ZK-NZB,1,692,Air New Zealand,15367
TAM-07,1,8,TAM,13495
152172,1,569,US Navy,362
N40446,1,253,Piedmont Airlines,9434
T.3-22,1,31,Spanish AF,13474
CU-T830,1,500,Cubana,5393
HK-527,1,17,Aeropesca Colombia,7439
61-2386,1,693,US Army,2152
PP-YPT,1,10,Varig,12337
24142,1,506,Pakistan AF,593
HS-OOO,1,694,Thai Government,7577
17211,1,695,USMC,447
N4994E,1,10,Frontier Airlines,9708
CCCP-45038,1,644,"Aeroflot, Privolzhsk",4338
N9905F,1,2,Zantop,11285
43-48388,1,696,USAF,949
CP-730,1,17,LAB,5285
N1553,1,697,Braniff Airways,8572
971,1,698,RCAF,2679
YR-TAN,1,36,Tarom,15117
XA-PEI,1,699,Aeronaves de México,14660
N65,1,72,FAA,10137
LV-GLE,1,52,Aerovías Halcón,8040
G-AOFZ,1,8,Gulf Aviation,6659
N28343,1,700,Lauderdale Leasing,9020
42-93514,1,4,USAF,845
JA8030,1,463,"JAL, lsf Japan Domestic Airlines",7789
CCCP-75552,1,500,"Aeroflot, Latvia",4612
2037,1,32,Brazilian AF,502
N331RS,1,595,Rolled Steel Corp.,9199
CU-T875,1,680,Cubana,5395
43-6014,1,12,Turkish AF,1048
G-ANBB,1,481,Britannia Airways,6639
VT-DSB,1,591,Indian Airlines,14344
63-9759,1,615,US Army,2261
63-7878,1,649,USAF,2241
65-0281,1,701,USAF,2304
CCCP-79816,1,109,"Aeroflot, Tajikistan",4662
CCCP-96224,1,702,"Aeroflot, Georgia",4823
53-7838,1,206,USAF,1554
N2282,1,494,Airlift Int.,8865
XA-NIM ?,1,667,Unknown,14655
CP-786,1,2,private,5296
EC-ACX,1,10,"Spantax, op.for Iberia",5680
N18138,1,703,Thunderbird Airways,8674
JA8617,1,449,All Nippon,7820
HK-174,1,9,Avianca,7265
VH-RMI,1,704,Ansett-ANA,14068
VH-AGE,1,1,Adastra Aerial Surveys,13951
N500JR,1,705,Jim Robbins Airborne Div.,9723
LV-AGG,1,54,Aerolineas Argentinas,8012
SU-AOM,1,680,UAA,13285
53-3195,1,206,USAF,1542
N9101,1,706,West Coast Airlines,11060
62-1840,1,649,USAF,2191
63-9751,1,615,US Army,2259
I-ACOA,1,318,private,7640
63-7886,1,649,USAF,2243
N131E,1,67,BBR Drilling,8478
51-7145,1,643,USAF,1428
N6219C,1,233,Eastern Air Lines,10072
PP-PEC,1,135,Cruzeiro do Sul,12244
61-0955,1,506,USAF,2146
2452,1,649,Brazilian AF,602
61-2405,1,707,US Army,2155
PP-SRM,1,250,VASP,12299
54-597,1,689,USAF,1587
HK-512,1,2,Aerocarga Colombia,7432
TZ-ABH,1,340,Air Mali,13794
VQ-FAX,1,179,Fiji Airways,14207
G-ATCT,1,708,Britten-Norman,6750
55-5262,1,662,USAF,1655
43-48961,1,16,USAF,982
JA8658,1,709,All Nippon,7821
N317PA,1,710,Pan Am,9157
B-156,1,17,Air America,3188
N339,1,67,National Steel Corp.,9224
N68966,1,50,Carolina Aircraft,10237
N40406,1,253,Piedmont Airlines,9425
62-4167,1,615,US Army,2210
VR-AAN,1,104,Aden Airways,14215
CCCP-75665,1,436,"Aeroflot, Kazakstan",4625
N235KC,1,711,Kellogg,8889
LZ-BEN,1,500,TABSO,8153
FAC-621,1,135,SATENA,6443
56-4367,1,394,USAF,1699
44-76574,1,31,USAF,1067
N3414,1,633,Allegheny Airlines,9232
OB-R-568,1,5,SATCO,11406
ZP-CAP,1,2,Germa Inc,15381
59/F-RBHI,1,209,French AF,1802
43-48949,1,31,USAF,978
N7301C,1,429,Aerocondor de Colombia,10406
CCCP-46601,1,537,"Aeroflot, Tajikistan",4378
N2222B,1,67,Executive Aviation,8852
N228SW,1,712,"Seaboard World, op.for Flying Tiger Line",8867
XA-NUS,1,699,Aeronaves de México,14657
HK-161,1,10,Avianca,7248
N4059K,1,494,Airlift Int.,9438
56-4372,1,394,USAF,1703
VH-RMG,1,713,Ansett-ANA,14067
N30046,1,52,Channel Air Lift,9078
FAC-...,1,19,Colombian AF,6411
43-49124,1,676,USAF,996
131495,1,616,US Navy,211
N122E,1,714,Bush Aviation,8398
M21-02,1,623,Royal Malaysian AF,8179
CCCP-04343,1,608,"Aeroflot, Polar",3980
B-1501,1,135,China Airlines,3183
302,1,677,Indonesian AF,649
N7431,1,367,United Airlines,10464
56-3613,1,378,USAF,1690
G-ASOG,1,18,Air Ferry,6743
N3408,1,715,Caribair,9230
SU-ANL,1,125,UAA,13278
N74841,1,71,Saturn Airways,10490
XA-LAU,1,71,Mexicana,14636
9M-AMU,1,10,MSA,2741
N640NA,1,327,Saturn Airways,10123
54-611,1,716,USAF,1590
CC-CDH,1,17,ALFA,3878
YK-ACB,1,5,Syrian Arab Airlines,15039
1271,1,342,US Coast Guard,164
CU-T827,1,717,Cubana,5392
49-1917,1,531,USAF,1234
HB-IMF,1,298,Swissair,7029
PK-GLB,1,454,Garuda,11898
60-0307,1,506,USAF,2109
T.3-3,1,31,Spanish AF,13477
43-49679,1,718,USAF,1035
44-76542,1,676,USAF,1066
147955,1,559,US Navy,313
HR-SAS,1,71,SAHSA,7564
ST-AAM,1,5,Sudan Airways,13201
XY-ABF,1,10,Union of Burma Airways,14942
XY-ACN,1,10,Union of Burma Airways,14945
TF-ISA,1,10,Icelandair,13630
N8224H,1,125,Northeast Airlines,10772
CC-CLB,1,64,Private,3891
PI-C501,1,420,Philippine Air Lines,11812
43-16040,1,32,USAF,898
PP-ASS,1,10,Sadia,12138
HK-758,1,17,Aerocondor de Colombia,7465
N73130,1,609,Lake Central Airlines,10417
PP-PEA,1,550,Varig,12243
9M-ANO,1,344,MSA,2743
1240,1,342,US Coast Guard,131
CCCP-11007,1,608,"Aeroflot, Polar",4051
I-TORE,1,719,Aeralpi,7725
F-BMHU,1,565,CAT,6206
N1063T,1,720,TWA,8299
43-49201,1,718,USAF,1001
N2712,1,372,West Coast Airlines,8985
42-72561,1,40,USAF,818
99844,1,721,US Navy,2692
I-CLAI,1,722,Aeralpi,7664
HP-425,1,135,Cie Dariénitas de Servicios,7530
VT-AUU,1,10,Indian Airlines,14248
63-7772,1,649,USAF,2227
CCCP-61657,1,334,"Aeroflot, Yakutsk",4465
ZS-CVA,1,723,South African Airways,15402
CCCP-04959,1,724,"Aeroflot, North Kavkaz",3984
147565,1,338,French Navy,309
EP-AEF,1,10,Iran Air,5885
FAC-685,1,19,Colombian AF,6468
65-9407,1,701,USAF,2310
43-48356,1,676,USAF,947
N54370,1,10,Amerine Turkey Breeding Farms,9860
44-76534,1,676,USAF,1065
N802E,1,699,Delta Air Lines,10683
N706G,1,67,Trans Caribbean Enterprises,10306
5N-ABQ,1,344,Bristow Helicopters,1898
CCCP-75563,1,500,"Aeroflot, 235 Aviation Det.",4616
N66549,1,67,Private,10178
G-AMYW,1,5,Hunting Surveys,6634
7T-VAU,1,54,Air Algérie,2498
N699C,1,67,private,10268
CCCP-04213,1,36,"Aeroflot, Polar",3969
66-0127,1,701,USAF,2338
7006,1,437,Brazilian AF,2415
55-4575,1,673,USAF,1652
58-0722,1,506,USAF,1770
N7777C,1,390,Alaska Airlines,10595
5-107,1,649,Iran AF,1318
55-3140,1,378,USAF,1631
HB-ITB,1,725,Globe Air,7035
G-ANCG,1,726,British Eagle,6642
53-0549,1,662,USAF,1538
43-48921,1,676,USAF,974
HK-326,1,8,Avianca,7345
PK-PFB,1,727,Fokker,12027
10309,1,728,RCAF,79
151365,1,569,US Navy,350
XN321,1,573,RAF,14846
59-0534,1,581,USAF,1792
CP-712,1,2,Aerovias Boliviana Transandina,5280
TF-AIO,1,5,Flugsyn,13622
G-AVJZ,1,544,Channel Airways,6758
N298GB,1,47,Gold Bond Stamp Co.,9062
N65GC,1,67,Airstar,10169
11153,1,729,RCAF,104
HJ244,1,19,Indian AF,7161
4541,1,730,US Coast Guard,1160
CCCP-05604,1,109,"Aeroflot, Kazakstan",3985
N739R,1,731,Container Corp. of America,10439
CF-NAD,1,732,Nordair,5088
9M-ANC,1,344,MSA,2742
XC-BII,1,5,Pemex,14798
WB831,1,358,RAF,14494
CF-TJM,1,606,Air Canada,5135
PI-C854,1,10,Air Manila Int.,11826
HK-503,1,10,Aerocondor de Colombia,7425
ZP-CDP,1,239,LAP,15387
N2968,1,47,Catalina-Vegas Airlines,9057
HK-757,1,18,Aerocondor de Colombia,7463
9J-RCY,1,733,Zambian Air Cargoes,2724
45-1125,1,78,USAF,1122
45-515,1,59,USAF,1128
CP-769,1,52,Rutas Aéreas Uncia,5294
G-APYK,1,18,Air Ferry,6713
G-ALHG,1,273,BMA,6587
CCCP-04366,1,734,"Aeroflot, Polar",3982
JY-ACO,1,293,Alia,7849
JY-ACP,1,293,Alia,7850
5A-DAD,1,619,Libyan Arab Airlines,1805
1217 ?,1,735,Egyptian AF,115
1218 ?,1,735,Egyptian AF,116
4X-FAX/077,1,380,Israeli AF,1308
UNO 8680,1,5,UN,13836
394,1,736,Iraqi AF,737
58-0737,1,506,USAF,1773
WD491,1,103,RAF,14505
HZ-AAJ,1,5,Saudi Arabian,7615
B-827,1,10,Air America,3303
CCCP-49345,1,537,"Aeroflot, East Siberia",4422
EI-APM,1,291,Aer Turas,5788
XA-FUW,1,92,Aeronaves de México,14605
6414,1,737,Portuguese AF,2294
7237,1,342,US Coast Guard,2435
2068,1,12,Brazilian AF,516
60-0293,1,506,USAF,2106
CCCP-71220,1,36,"Aeroflot, Kazakstan",4592
XM106,1,329,RAF,14835
N6936C,1,390,Airlift Int.,10261
EI-AOF,1,738,Aer Lingus,5786
63-7801,1,649,USAF,2235
N1116J,1,739,Mohawk Airlines,8325
50-086,1,229,USAF,1330
HZ-AAM,1,8,Saudi Arabian,7617
522,1,12,Uruguayan AF,1525
XA-NAH,1,71,SAESA,14653
VT-DOM,1,420,Indian Airlines,14341
HS-TGI,1,515,Thai Airways International,7595
VR-AAV,1,740,Aden Airways,14216
51-1125,1,17,JASDF,1384
XS598,1,741,RAF,14855
PI-C527,1,420,Philippine Air Lines,11818
3X-GAB,1,500,Air Guinée,757
N861H,1,742,Honeywell,10885
128414,1,616,US Navy,178
55-0009,1,392,USAF,1614
62-1815,1,743,USAF,2188
59-1465,1,744,USAF,1795
AS+581,1,380,German AF,3153
N68650,1,664,Piedmont Airlines,10228
5R-MAD,1,9,Air Madagascar,1964
54-630,1,394,USAF,1592
XW-PDL,1,64,"China Airlines, op.for Véha-Akat",14903
N205M,1,742,Mellon Bank,8791
BJ497,1,32,Indian AF,3313
62-4161,1,745,USAF,2207
95,1,375,French AF,2661
52-1012,1,229,USAF,1479
2128,1,342,US Coast Guard,534
N9473Z,1,17,Continental Air Services,11184
G-ATEK,1,647,Channel Airways,6752
G-ATEH,1,647,Channel Airways,6751
58-1702,1,286,US Army,1780
635,1,746,Polish Navy,2268
657,1,394,Republic of China AF,2333
43-16282,1,31,USAF,912
CCCP-42615,1,109,"Aeroflot, Komi",4312
A4-171,1,623,RAAF,3003
39,1,747,French Navy,726
44-77552,1,62,USAF,1087
2034,1,32,Brazilian AF,501
54-621,1,673,USAF,1591
OK-WAI,1,748,CSA,11545
HK-101,1,8,Avianca,7172
N1309V,1,52,Capitol Airways,8468
G-ALZS,1,259,Autair,6598
XM959,1,573,RAF,14843
D-IBUL,1,749,Dornier,5538
43-49520,1,31,USAF,1025
EI-AKK,1,750,Aer Lingus,5785
N7436C,1,751,Bird Corp.,10466
147946,1,559,US Navy,311
XL991,1,573,RAF,14833
N91003,1,10,Central Airlines,11058
HB-VAP,1,752,Trans Commerce Leasing,7052
43-48591,1,676,USAF,961
17134,1,753,US Navy,434
5N-AAV,1,754,Biafran AF,1892
61-2649,1,506,USAF,2162
58,1,466,Polish AF,1754
G-ARCO,1,435,"BEA, opf Cyprus Airways",6717
XL638,1,755,RAF,14830
57-0467,1,392,USAF,1727
CCCP-16150,1,36,"Aeroflot, Yakutsk",4129
PI-C648,1,6,Aguinaldo Development,11825
PP-VBH,1,5,Varig,12304
64-0548,1,649,USAF,2280
OY-DNP,1,24,Fairline,11603
N6L,1,67,Lorenair Inc.,10274
B-1541,1,17,China Airlines,3185
N432EJ,1,619,Executive Jet Sales,9503
54-667,1,673,USAF,1602
PP-SDJ,1,756,Sadia,12255
EC-BDD,1,757,Iberia,5706
VR-HFX,1,463,Cathay Pacific,14225
WL786,1,185,RAF,14552
N742TW,1,758,TWA,10462
5N-AAK,1,32,Biafran AF,1890
TTD-6020,1,19,Mexican AF,13777
F-ZBAQ,1,135,Securité Civile,6389
74,1,209,French AF,2441
62-1865,1,649,USAF,2199
63-7827,1,649,USAF,2237
CCCP-75538,1,500,"Aeroflot, International",4611
DM-SAF,1,590,Interflug,5623
WR976,1,594,RAF,14560
N821TW,1,463,TWA,10771
CP-826,1,2,Transportes Aéreos Litoral,5301
CP-691,1,5,Aerolineas Abaroa,5275
57-6119,1,286,US Army,1749
64-0563,1,759,USAF,2283
N7465,1,367,United Airlines,10480
N690LJ,1,619,Jet International,10248
62-4175,1,745,USAF,2212
148350,1,559,US Navy,320
G-ASXP,1,659,BEA,6748
XW-PFM,1,6,Lao Cathay Airlines,14906
37/F-RABZ,1,375,French AF,719
OB-R-148,1,18,Faucett,11404
2100,1,760,Brazilian AF,524
54-582,1,673,USAF,1582
N822LJ,1,619,Jet International,10775
N7429,1,367,United Airlines,10459
61-2387,1,707,USAF,2153
L2-20/00,1,761,Thai AF,7924
135594,1,559,US Navy,242
XL150,1,329,RAF,14828
N65276,1,10,Frontier Airlines,10148
N28360,1,762,private,9023
N30W,1,731,Korda Kentucky Leasing,9123
XF702,1,594,RAF,14817
OY-EAN,1,125,Sterling Airways,11606
G-AVGW,1,763,Autair,6756
HS-TDH,1,10,Thai Airways,7592
VT-DUC,1,6,Unknown,14346
64-0547,1,759,USAF,2279
CCCP-46215,1,764,"Aeroflot, Latvia",4352
CCCP-46201,1,764,"Aeroflot, Moscow",4350
N251S,1,253,Southern Airways,8932
48,1,375,French Navy,1190
CCCP-47733,1,764,"Aeroflot, Yakutsk",4408
3674,1,226,Canadian Armed Forces,711
YU-ABK,1,5,JAT,15134
ET-AAG,1,765,"Ethiopian Airlines, op.for MEA",5973
CCCP-75519,1,500,"Aeroflot, Northern",4606
43-48321,1,78,USAF,946
50850,1,287,US Navy,1355
131436,1,766,US Navy,203
SU-AJG,1,6,UAA,13267
CA+102,1,767,German AF,3845
152144,1,569,US Navy,356
5N-AAL,1,32,Nigerian AF,1891
58-0026,1,378,USAF,1761
2026,1,32,Brazilian AF,496
SE-ERC,1,326,"THY, lsf Transair Sweden",13075
HS-TGL,1,462,Thai Airways,7597
F-OCED,1,179,Air Comores,6345
CCCP-11015,1,608,"Aeroflot, Yakutsk",4052
153440,1,768,US Navy,376
N791SA,1,769,"Canadian Pacific, lsf Standard Airways",10647
BL534,1,735,Indian AF,3322
6521,1,60,Brazilian AF,2325
HZ-AAE,1,8,Saudi Arabian,7613
149813,1,665,USMC,331
XM963,1,421,RAF,14844
CCCP-28946,1,109,"Aeroflot, Kazakstan",4174
43-49859,1,676,USAF,1045
B-1018,1,770,Civil Air Transport,3159
131486,1,766,US Navy,209
58-0743,1,506,USAF,1775
