registration,admin_id,aircraft_id,operator,registration_id
CB-38,1,42,LAB,3848
N1661M,1,52,National Airlines,8614
SZ569,1,15,RAF,13342
WH575,1,28,Bristol,14531
CCCP-L4592,1,36,"Aeroflot, Northern",4919
VH-SMH,1,10,John Fairfax & Sons,14078
49-105,1,77,USAF,1213
YV-C-ARF,1,10,RANSA,15238
NC93037,1,27,Northwest Orient Airlines,11338
F-BAXM,1,10,Air Atlas,6095
43-49041,1,78,USAF,991
42-100855,1,32,USAF,790
CCCP-L4532,1,36,"Aeroflot, Kazakstan",4914
G-AGIW,1,10,BEA,6530
43-49440,1,12,USAF,1018
42-92041,1,32,USAF,831
MW102,1,51,RAF,8224
43-49030,1,12,USAF,988
CCCP-N369,1,5,Polyarnaya Aviatsiya,4952
124290,1,79,US Navy,142
G-AHPN,1,38,BEA,6557
49-189,1,56,USAF,1233
VT-CQP,1,80,Air-India,14291
PP-IBC,1,81,Central Aérea,12194
43-49681,1,82,USAF,1036
A65-116,1,12,RAAF,3030
N93040,1,27,Northwest Orient Airlines,11120
CB-47,1,17,Frigorífico Cooperativo Los Andes,3852
43-49529,1,16,USAF,1027
42-72742,1,40,USAF,830
49-166,1,56,USAF,1227
CCCP-L1098,1,39,"Aeroflot, Krasnoyarsk",4847
XB-KWZ,1,8,Federal Electricity Commission,14769
45-57739,1,14,USAF,1131
43-6017,1,12,Turkish AF,1049
CF-EDN,1,75,Curtiss Reid Flying Services,5009
CB-48,1,42,Frigorífico Cooperativo Los Andes,3853
YR-TAA,1,83,TARS,15116
NZ3549,1,12,New Zealand AF,11343
PK-DPB,1,10,Garuda,11866
44-23024,1,14,USAF,1055
NC86511,1,63,TWA,11337
42-72662,1,40,USAF,825
43-49704,1,31,USAF,1037
45-57743,1,14,USAF,1132
N74586,1,64,New Tribes Mission,10471
OB-PAU-201,1,5,Faucett,11391
HK-330,1,17,LIDCA,7350
VT-COI,1,10,Indamer,14285
CU-T7,1,24,Cubana,5388
39340,1,48,US Navy,733
T-446,1,12,Indonesian AF,13392
EP-AAJ,1,10,Iranian Airways,5874
50767,1,84,USMC,1350
45-949,1,16,USAF,1156
VW805,1,49,RAF,14455
A65-74,1,12,RAAF,3035
F-BELB,1,18,TAI,6140
F-BAXY,1,5,Air Atlas,6097
XT-44,1,52,Civil Air Transport,14857
XT-852,1,52,Civil Air Transport,14859
XT-846,1,17,Civil Air Transport,14858
NZ4048,1,20,New Zealand AF,11344
F-BDAT,1,85,IGN,6119
HB-ILE,1,9,Swissair,7025
VT-CFK,1,5,Air-India,14268
PP-SPT,1,10,VASP,12282
PP-SPW,1,5,VASP,12284
YV-C-AVU,1,8,AVENSA,15246
PP-LDD,1,2,Loide Aéreo Nacional,12201
328/F-RBEH,1,86,French AF,684
384/F-RBDK,1,86,French AF,723
44-9096,1,22,USAF,1108
TG574,1,68,RAF,13674
A65-66,1,32,RAAF,3033
CF-CUF,1,10,Canadian Pacific,4997
124357,1,79,US Navy,144
43-15110,1,32,USAF,860
44-76666,1,12,USAF,1072
CCCP-L4003,1,36,"Aeroflot, Uzbekistan",4893
P-82,1,44,Dutch Navy,11648
LV-ACH,1,10,Aerolineas Argentinas,7998
CB-31,1,10,LAB,3847
